,Booking date,Quantity,Customer ID,Product ID,Channel,Landingpage,Channel_Name,Booking Sequence,Previous Booking date,Previous Product ID,Previous Channel,Previous Channel_Name,Previous Landingpage
0,17.10.2015,2,0,50,3,3,SEA,1,,,,,
1,18.12.2018,2,1,211,0,0,CRM,1,,,,,
2,22.12.2017,2,1,207,0,0,CRM,2,18.12.2018,211.0,0.0,CRM,0.0
3,27.09.2018,2,2,152,3,4,SEA,1,,,,,
4,12.11.2015,1,3,525,2,2,Direct,1,,,,,
5,17.05.2017,2,4,16,4,7,Store,1,,,,,
6,24.09.2018,2,4,119,3,3,SEA,2,17.05.2017,16.0,4.0,Store,7.0
7,29.01.2019,2,4,38,0,0,CRM,3,24.09.2018,119.0,3.0,SEA,3.0
8,02.10.2017,1,5,141,5,18,Affiliate B,1,,,,,
9,12.09.2018,1,5,10,4,6,Store,2,02.10.2017,141.0,5.0,Affiliate B,18.0
10,30.01.2019,2,6,54,3,3,SEA,1,,,,,
11,24.01.2018,2,7,163,5,19,Affiliate B,1,,,,,
12,09.10.2017,2,8,294,0,0,CRM,1,,,,,
13,04.07.2018,1,9,201,0,0,CRM,1,,,,,
14,12.04.2019,1,9,424,0,0,CRM,2,04.07.2018,201.0,0.0,CRM,0.0
15,17.05.2017,1,9,284,0,0,CRM,3,12.04.2019,424.0,0.0,CRM,0.0
16,28.08.2015,1,9,241,4,8,Store,4,17.05.2017,284.0,0.0,CRM,0.0
17,30.05.2016,1,9,425,0,0,CRM,5,28.08.2015,241.0,4.0,Store,8.0
18,30.10.2018,1,9,309,0,0,CRM,6,30.05.2016,425.0,0.0,CRM,0.0
19,31.01.2018,1,10,167,0,0,CRM,1,,,,,
20,09.10.2017,2,11,154,1,1,Affiliate A,1,,,,,
21,10.08.2018,2,12,355,0,0,CRM,1,,,,,
22,11.06.2018,2,12,152,3,3,SEA,2,10.08.2018,355.0,0.0,CRM,0.0
23,14.10.2018,2,12,480,0,0,CRM,3,11.06.2018,152.0,3.0,SEA,3.0
24,17.05.2019,2,12,126,0,0,CRM,4,14.10.2018,480.0,0.0,CRM,0.0
25,20.12.2018,2,12,208,0,0,CRM,5,17.05.2019,126.0,0.0,CRM,0.0
26,09.10.2017,2,13,240,4,8,Store,1,,,,,
27,20.12.2017,2,14,133,1,1,Affiliate A,1,,,,,
28,21.09.2018,2,14,524,3,3,SEA,2,20.12.2017,133.0,1.0,Affiliate A,1.0
29,21.02.2017,2,15,18,4,6,Store,1,,,,,
30,21.07.2019,2,16,481,0,0,CRM,1,,,,,
31,07.10.2015,2,17,423,0,0,CRM,1,,,,,
32,28.11.2016,2,17,175,4,8,Store,2,07.10.2015,423.0,0.0,CRM,0.0
33,24.10.2013,2,18,602,2,2,Direct,1,,,,,
34,24.07.2018,2,19,223,0,0,CRM,1,,,,,
35,01.02.2018,2,20,163,2,2,Direct,1,,,,,
36,18.06.2019,2,20,23,0,0,CRM,2,01.02.2018,163.0,2.0,Direct,2.0
37,22.11.2017,2,21,25,0,0,CRM,1,,,,,
38,05.11.2018,2,22,242,2,2,Direct,1,,,,,
39,10.10.2017,2,23,31,1,1,Affiliate A,1,,,,,
40,06.02.2017,2,24,63,2,2,Direct,1,,,,,
41,24.01.2019,2,25,23,2,2,Direct,1,,,,,
42,14.11.2017,2,26,154,4,6,Store,1,,,,,
43,04.02.2017,2,27,63,4,8,Store,1,,,,,
44,10.08.2018,4,27,359,0,0,CRM,2,04.02.2017,63.0,4.0,Store,8.0
45,15.10.2017,4,27,163,3,4,SEA,3,10.08.2018,359.0,0.0,CRM,0.0
46,23.04.2018,4,27,320,0,0,CRM,4,15.10.2017,163.0,3.0,SEA,4.0
47,24.08.2019,4,27,572,4,13,Store,5,23.04.2018,320.0,0.0,CRM,0.0
48,03.02.2016,2,28,124,4,6,Store,1,,,,,
49,08.02.2018,2,29,344,0,0,CRM,1,,,,,
50,12.12.2016,2,29,70,4,8,Store,2,08.02.2018,344.0,0.0,CRM,0.0
51,22.02.2019,2,29,492,0,0,CRM,3,12.12.2016,70.0,4.0,Store,8.0
52,31.05.2016,2,30,195,4,12,Store,1,,,,,
53,03.02.2018,2,31,135,2,2,Direct,1,,,,,
54,02.05.2019,2,32,23,3,4,SEA,1,,,,,
55,03.11.2017,2,33,140,2,2,Direct,1,,,,,
56,14.11.2018,2,34,85,0,0,CRM,1,,,,,
57,15.01.2018,2,34,207,2,2,Direct,2,14.11.2018,85.0,0.0,CRM,0.0
58,23.07.2018,2,35,335,0,0,CRM,1,,,,,
59,05.03.2019,2,36,126,0,0,CRM,1,,,,,
60,05.06.2019,2,36,239,0,0,CRM,2,05.03.2019,126.0,0.0,CRM,0.0
61,10.01.2018,2,36,384,3,3,SEA,3,05.06.2019,239.0,0.0,CRM,0.0
62,17.05.2018,2,36,477,0,0,CRM,4,10.01.2018,384.0,3.0,SEA,3.0
63,02.11.2017,2,37,141,5,18,Affiliate B,1,,,,,
64,20.07.2018,2,37,119,0,0,CRM,2,02.11.2017,141.0,5.0,Affiliate B,18.0
65,24.04.2017,2,37,230,5,18,Affiliate B,3,20.07.2018,119.0,0.0,CRM,0.0
66,09.07.2018,2,38,119,3,3,SEA,1,,,,,
67,15.06.2019,2,39,238,4,8,Store,1,,,,,
68,18.02.2017,2,40,15,2,2,Direct,1,,,,,
69,11.11.2016,2,41,313,1,1,Affiliate A,1,,,,,
70,14.07.2017,1,42,155,0,0,CRM,1,,,,,
71,16.09.2018,1,42,436,0,0,CRM,2,14.07.2017,155.0,0.0,CRM,0.0
72,01.09.2018,3,43,224,3,3,SEA,1,,,,,
73,10.11.2017,3,43,386,5,18,Affiliate B,2,01.09.2018,224.0,3.0,SEA,3.0
74,09.02.2017,3,44,215,2,2,Direct,1,,,,,
75,13.09.2017,5,44,163,0,0,CRM,2,09.02.2017,215.0,2.0,Direct,2.0
76,18.06.2019,5,44,90,4,6,Store,3,13.09.2017,163.0,0.0,CRM,0.0
77,25.06.2018,3,44,288,0,0,CRM,4,18.06.2019,90.0,4.0,Store,6.0
78,01.02.2017,2,45,298,0,0,CRM,1,,,,,
79,06.04.2017,2,45,578,0,0,CRM,2,01.02.2017,298.0,0.0,CRM,0.0
80,10.08.2017,2,45,250,4,8,Store,3,06.04.2017,578.0,0.0,CRM,0.0
81,17.10.2016,2,45,217,3,3,SEA,4,10.08.2017,250.0,4.0,Store,8.0
82,09.02.2018,2,46,66,4,8,Store,1,,,,,
83,26.03.2018,2,47,329,0,0,CRM,1,,,,,
84,12.06.2018,2,48,152,3,3,SEA,1,,,,,
85,16.02.2018,2,49,191,0,0,CRM,1,,,,,
86,27.01.2018,2,49,29,2,2,Direct,2,16.02.2018,191.0,0.0,CRM,0.0
